starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 21:04:43 2023	1682903083	1	110	111	69
Sun Apr 30 21:04:43 2023	1682903083	0	112	112	72
Sun Apr 30 21:04:43 2023	1682903083	1	111	112	81
Sun Apr 30 21:04:43 2023	1682903083	0	112	112	78
Sun Apr 30 21:04:43 2023	1682903083	1	112	113	77
Sun Apr 30 21:04:43 2023	1682903083	1	112	113	75
Sun Apr 30 21:04:43 2023	1682903083	1	112	113	73
Sun Apr 30 21:04:43 2023	1682903083	1	112	113	74
Sun Apr 30 21:04:43 2023	1682903083	1	113	114	71
Sun Apr 30 21:04:43 2023	1682903083	1	113	114	111
Sun Apr 30 21:04:43 2023	1682903083	1	114	115	113
Sun Apr 30 21:04:43 2023	1682903083	0	116	116	91
Sun Apr 30 21:04:43 2023	1682903083	1	116	117	95
Sun Apr 30 21:04:43 2023	1682903083	2	115	117	92
Sun Apr 30 21:04:43 2023	1682903083	2	115	117	82
Sun Apr 30 21:04:43 2023	1682903083	1	118	119	100
Sun Apr 30 21:04:43 2023	1682903083	1	118	119	97
Sun Apr 30 21:04:43 2023	1682903083	1	121	122	102
Sun Apr 30 21:04:43 2023	1682903083	1	122	123	106
Sun Apr 30 21:04:43 2023	1682903083	0	132	133	120
Sun Apr 30 21:04:43 2023	1682903083	3	130	133	108
Sun Apr 30 21:04:43 2023	1682903083	1	134	135	129
Sun Apr 30 21:04:43 2023	1682903083	2	133	135	123
Sun Apr 30 21:04:43 2023	1682903083	1	134	135	131
Sun Apr 30 21:04:43 2023	1682903083	1	137	138	128
Sun Apr 30 21:04:43 2023	1682903083	1	137	138	137
Sun Apr 30 21:04:43 2023	1682903083	2	137	139	130
Sun Apr 30 21:04:43 2023	1682903083	1	138	139	136
Sun Apr 30 21:04:43 2023	1682903083	1	139	140	139
Sun Apr 30 21:04:43 2023	1682903083	1	143	144	135
Sun Apr 30 21:04:43 2023	1682903083	1	143	144	136
Sun Apr 30 21:04:43 2023	1682903083	0	145	145	141
Sun Apr 30 21:04:43 2023	1682903083	0	145	145	141
Sun Apr 30 21:04:43 2023	1682903083	1	145	146	137
Sun Apr 30 21:04:43 2023	1682903083	1	145	146	140
Sun Apr 30 21:04:43 2023	1682903083	1	145	146	139
Sun Apr 30 21:04:43 2023	1682903083	1	146	147	132
Sun Apr 30 21:04:43 2023	1682903083	1	146	147	142
Sun Apr 30 21:04:43 2023	1682903083	1	146	147	141
Sun Apr 30 21:04:43 2023	1682903083	0	147	148	146
Sun Apr 30 21:04:43 2023	1682903083	1	147	148	144
Sun Apr 30 21:04:43 2023	1682903083	0	155	155	121
Sun Apr 30 21:04:43 2023	1682903083	2	155	157	8
Sun Apr 30 21:04:46 2023	1682903086	1	165	166	154
Sun Apr 30 21:04:45 2023	1682903085	2	169	171	148
Sun Apr 30 21:04:45 2023	1682903085	1	171	172	150
Sun Apr 30 21:04:46 2023	1682903086	1	174	175	163
Sun Apr 30 21:04:45 2023	1682903085	1	175	176	157
Sun Apr 30 21:04:45 2023	1682903085	1	175	176	156
Sun Apr 30 21:04:45 2023	1682903085	1	175	176	159
Sun Apr 30 21:04:45 2023	1682903085	1	175	176	161
Sun Apr 30 21:04:45 2023	1682903085	1	176	177	173
Sun Apr 30 21:04:44 2023	1682903084	0	198	198	183
Sun Apr 30 21:04:44 2023	1682903084	1	197	198	191
Sun Apr 30 21:04:44 2023	1682903084	3	196	199	189
Sun Apr 30 21:04:45 2023	1682903085	1	199	200	155
Sun Apr 30 21:04:45 2023	1682903085	1	199	200	156
Sun Apr 30 21:04:45 2023	1682903085	1	200	201	181
Sun Apr 30 21:04:45 2023	1682903085	0	201	201	159
Sun Apr 30 21:04:44 2023	1682903084	1	201	202	192
Sun Apr 30 21:04:44 2023	1682903084	0	204	204	195
Sun Apr 30 21:04:44 2023	1682903084	1	204	205	185
Sun Apr 30 21:04:44 2023	1682903084	3	204	207	186
Sun Apr 30 21:04:44 2023	1682903084	1	206	207	187
Sun Apr 30 21:04:44 2023	1682903084	1	207	208	182
Sun Apr 30 21:04:44 2023	1682903084	1	208	209	181
Sun Apr 30 21:04:45 2023	1682903085	1	208	209	199
Sun Apr 30 21:04:45 2023	1682903085	0	210	210	173
Sun Apr 30 21:04:45 2023	1682903085	1	209	210	171
Sun Apr 30 21:04:45 2023	1682903085	1	209	210	157
Sun Apr 30 21:04:44 2023	1682903084	1	210	211	203
Sun Apr 30 21:04:45 2023	1682903085	1	210	211	194
Sun Apr 30 21:04:44 2023	1682903084	1	210	211	186
Sun Apr 30 21:04:45 2023	1682903085	1	210	211	174
Sun Apr 30 21:04:45 2023	1682903085	1	210	211	173
Sun Apr 30 21:04:45 2023	1682903085	1	210	211	201
Sun Apr 30 21:04:44 2023	1682903084	0	212	212	210
Sun Apr 30 21:04:45 2023	1682903085	1	212	212	179
Sun Apr 30 21:04:45 2023	1682903085	0	213	213	207
Sun Apr 30 21:04:44 2023	1682903084	1	212	213	212
Sun Apr 30 21:04:43 2023	1682903083	1	212	213	148
Sun Apr 30 21:04:45 2023	1682903085	1	213	214	209
Sun Apr 30 21:04:45 2023	1682903085	1	213	214	208
Sun Apr 30 21:04:45 2023	1682903085	3	211	214	169
Sun Apr 30 21:04:45 2023	1682903085	1	213	214	205
Sun Apr 30 21:04:45 2023	1682903085	2	212	214	202
Sun Apr 30 21:04:44 2023	1682903084	1	213	214	211
Sun Apr 30 21:04:44 2023	1682903084	1	214	215	196
Sun Apr 30 21:04:45 2023	1682903085	1	215	216	188
Sun Apr 30 21:04:45 2023	1682903085	1	215	216	186
Sun Apr 30 21:04:44 2023	1682903084	1	215	216	215
Sun Apr 30 21:04:45 2023	1682903085	1	216	217	188
Sun Apr 30 21:04:44 2023	1682903084	0	217	217	189
Sun Apr 30 21:04:44 2023	1682903084	1	216	217	214
Sun Apr 30 21:04:44 2023	1682903084	1	216	217	212
Sun Apr 30 21:04:44 2023	1682903084	0	218	218	212
Sun Apr 30 21:04:44 2023	1682903084	1	217	218	215
Sun Apr 30 21:04:44 2023	1682903084	1	217	218	208
Sun Apr 30 21:04:43 2023	1682903083	0	218	218	205
Sun Apr 30 21:04:44 2023	1682903084	1	217	218	215
Sun Apr 30 21:04:43 2023	1682903083	0	219	219	203
Sun Apr 30 21:04:44 2023	1682903084	1	218	219	218
Sun Apr 30 21:04:44 2023	1682903084	0	219	219	218
Sun Apr 30 21:04:43 2023	1682903083	1	219	220	199
Sun Apr 30 21:04:46 2023	1682903086	1	219	220	212
Sun Apr 30 21:04:46 2023	1682903086	1	219	220	214
Sun Apr 30 21:04:44 2023	1682903084	0	221	221	213
Sun Apr 30 21:04:44 2023	1682903084	1	220	221	205
Sun Apr 30 21:04:43 2023	1682903083	1	220	221	207
Sun Apr 30 21:04:44 2023	1682903084	1	220	221	217
Sun Apr 30 21:04:45 2023	1682903085	1	221	222	185
Sun Apr 30 21:04:45 2023	1682903085	1	221	222	188
Sun Apr 30 21:04:45 2023	1682903085	1	221	222	187
Sun Apr 30 21:04:43 2023	1682903083	1	221	222	201
Sun Apr 30 21:04:43 2023	1682903083	0	222	222	207
Sun Apr 30 21:04:46 2023	1682903086	1	221	222	213
Sun Apr 30 21:04:44 2023	1682903084	1	221	222	207
Sun Apr 30 21:04:45 2023	1682903085	3	219	223	214
Sun Apr 30 21:04:46 2023	1682903086	1	222	223	222
Sun Apr 30 21:04:45 2023	1682903085	1	223	224	191
Sun Apr 30 21:04:43 2023	1682903083	1	223	224	204
Sun Apr 30 21:04:43 2023	1682903083	0	224	224	204
Sun Apr 30 21:04:46 2023	1682903086	0	224	224	218
Sun Apr 30 21:04:45 2023	1682903085	1	223	225	192
Sun Apr 30 21:04:44 2023	1682903084	3	222	225	218
Sun Apr 30 21:04:43 2023	1682903083	1	224	225	203
Sun Apr 30 21:04:43 2023	1682903083	0	225	225	203
Sun Apr 30 21:04:43 2023	1682903083	0	226	226	200
Sun Apr 30 21:04:45 2023	1682903085	1	225	226	196
Sun Apr 30 21:04:43 2023	1682903083	2	224	226	198
Sun Apr 30 21:04:45 2023	1682903085	1	225	226	195
Sun Apr 30 21:04:44 2023	1682903084	1	225	226	202
Sun Apr 30 21:04:43 2023	1682903083	0	226	226	209
Sun Apr 30 21:04:46 2023	1682903086	0	226	226	205
Sun Apr 30 21:04:44 2023	1682903084	0	227	227	217
Sun Apr 30 21:04:43 2023	1682903083	1	226	227	202
Sun Apr 30 21:04:46 2023	1682903086	1	226	227	226
Sun Apr 30 21:04:44 2023	1682903084	1	226	227	226
Sun Apr 30 21:04:44 2023	1682903084	0	228	228	210
Sun Apr 30 21:04:45 2023	1682903085	1	229	230	219
Sun Apr 30 21:04:44 2023	1682903084	1	230	231	204
Sun Apr 30 21:04:43 2023	1682903083	0	232	232	214
Sun Apr 30 21:04:43 2023	1682903083	1	231	232	206
Sun Apr 30 21:04:43 2023	1682903083	1	233	234	191
Sun Apr 30 21:04:43 2023	1682903083	1	234	235	234
Sun Apr 30 21:04:43 2023	1682903083	1	234	235	233
Sun Apr 30 21:04:44 2023	1682903084	1	234	235	226
Sun Apr 30 21:04:44 2023	1682903084	1	235	236	228
Sun Apr 30 21:04:44 2023	1682903084	1	236	237	199
Sun Apr 30 21:04:44 2023	1682903084	1	236	237	204
Sun Apr 30 21:04:45 2023	1682903085	0	237	237	223
Sun Apr 30 21:04:44 2023	1682903084	1	236	237	188
Sun Apr 30 21:04:44 2023	1682903084	1	237	238	237
Sun Apr 30 21:04:44 2023	1682903084	1	237	238	200
Sun Apr 30 21:04:44 2023	1682903084	1	237	238	190
Sun Apr 30 21:04:44 2023	1682903084	1	237	238	194
Sun Apr 30 21:04:44 2023	1682903084	1	237	238	230
Sun Apr 30 21:04:45 2023	1682903085	0	238	238	225
Sun Apr 30 21:04:46 2023	1682903086	1	238	239	220
Sun Apr 30 21:04:44 2023	1682903084	0	239	239	192
Sun Apr 30 21:04:44 2023	1682903084	1	238	239	235
Sun Apr 30 21:04:46 2023	1682903086	1	238	239	238
Sun Apr 30 21:04:44 2023	1682903084	0	239	239	239
Sun Apr 30 21:04:45 2023	1682903085	1	239	240	227
Sun Apr 30 21:04:44 2023	1682903084	1	239	240	230
Sun Apr 30 21:04:44 2023	1682903084	0	240	240	239
Sun Apr 30 21:04:44 2023	1682903084	1	239	240	239
Sun Apr 30 21:04:46 2023	1682903086	3	237	240	236
Sun Apr 30 21:04:44 2023	1682903084	1	239	240	197
Sun Apr 30 21:04:44 2023	1682903084	0	240	240	240
Sun Apr 30 21:04:44 2023	1682903084	1	240	241	238
Sun Apr 30 21:04:46 2023	1682903086	1	240	241	239
Sun Apr 30 21:04:44 2023	1682903084	1	241	242	236
Sun Apr 30 21:04:46 2023	1682903086	1	241	242	226
Sun Apr 30 21:04:44 2023	1682903084	1	241	242	225
Sun Apr 30 21:04:43 2023	1682903083	1	242	243	206
Sun Apr 30 21:04:44 2023	1682903084	1	242	243	239
Sun Apr 30 21:04:44 2023	1682903084	1	242	243	239
Sun Apr 30 21:04:45 2023	1682903085	0	243	243	223
Sun Apr 30 21:04:45 2023	1682903085	0	243	243	218
Sun Apr 30 21:04:45 2023	1682903085	1	242	243	231
Sun Apr 30 21:04:44 2023	1682903084	1	242	244	234
Sun Apr 30 21:04:43 2023	1682903083	1	243	244	209
Sun Apr 30 21:04:43 2023	1682903083	1	243	244	207
Sun Apr 30 21:04:44 2023	1682903084	1	244	245	229
Sun Apr 30 21:04:46 2023	1682903086	1	244	245	237
Sun Apr 30 21:04:43 2023	1682903083	1	244	245	217
Sun Apr 30 21:04:43 2023	1682903083	1	244	245	219
Sun Apr 30 21:04:46 2023	1682903086	1	244	245	224
Sun Apr 30 21:04:45 2023	1682903085	1	244	245	236
Sun Apr 30 21:04:43 2023	1682903083	2	244	245	224
Sun Apr 30 21:04:43 2023	1682903083	1	245	246	190
Sun Apr 30 21:04:46 2023	1682903086	1	245	246	243
Sun Apr 30 21:04:46 2023	1682903086	1	246	247	244
Sun Apr 30 21:04:44 2023	1682903084	1	246	247	212
Sun Apr 30 21:04:43 2023	1682903083	0	247	247	229
Sun Apr 30 21:04:43 2023	1682903083	1	246	247	216
Sun Apr 30 21:04:46 2023	1682903086	1	247	247	234
Sun Apr 30 21:04:43 2023	1682903083	1	246	247	221
Sun Apr 30 21:04:44 2023	1682903084	1	247	248	245
Sun Apr 30 21:04:44 2023	1682903084	1	247	248	247
Sun Apr 30 21:04:45 2023	1682903085	1	248	249	242
Sun Apr 30 21:04:45 2023	1682903085	1	248	249	240
Sun Apr 30 21:04:43 2023	1682903083	1	248	249	222
Sun Apr 30 21:04:45 2023	1682903085	1	248	249	241
Sun Apr 30 21:04:45 2023	1682903085	1	248	249	242
Sun Apr 30 21:04:44 2023	1682903084	1	249	250	240
Sun Apr 30 21:04:43 2023	1682903083	0	251	251	218
Sun Apr 30 21:04:45 2023	1682903085	1	250	251	245
Sun Apr 30 21:04:44 2023	1682903084	1	250	251	238
Sun Apr 30 21:04:44 2023	1682903084	0	251	251	239
Sun Apr 30 21:04:44 2023	1682903084	0	251	251	240
Sun Apr 30 21:04:44 2023	1682903084	1	250	251	235
Sun Apr 30 21:04:43 2023	1682903083	1	251	252	207
Sun Apr 30 21:04:43 2023	1682903083	1	251	252	248
Sun Apr 30 21:04:44 2023	1682903084	1	251	252	235
Sun Apr 30 21:04:44 2023	1682903084	1	251	252	236
Sun Apr 30 21:04:44 2023	1682903084	1	251	252	241
Sun Apr 30 21:04:43 2023	1682903083	1	252	253	198
Sun Apr 30 21:04:45 2023	1682903085	1	252	253	244
Sun Apr 30 21:04:46 2023	1682903086	1	252	253	240
Sun Apr 30 21:04:46 2023	1682903086	1	252	253	225
Sun Apr 30 21:04:45 2023	1682903085	2	251	253	237
Sun Apr 30 21:04:46 2023	1682903086	1	252	253	233
Sun Apr 30 21:04:43 2023	1682903083	1	253	254	203
Sun Apr 30 21:04:45 2023	1682903085	1	253	254	245
Sun Apr 30 21:04:44 2023	1682903084	1	253	254	253
Sun Apr 30 21:04:44 2023	1682903084	0	254	254	249
Sun Apr 30 21:04:46 2023	1682903086	1	254	255	214
Sun Apr 30 21:04:44 2023	1682903084	0	255	255	246
Sun Apr 30 21:04:43 2023	1682903083	1	255	256	201
Sun Apr 30 21:04:44 2023	1682903084	1	255	256	252
Sun Apr 30 21:04:46 2023	1682903086	0	256	256	217
Sun Apr 30 21:04:44 2023	1682903084	2	254	256	222
Sun Apr 30 21:04:46 2023	1682903086	0	256	256	224
Sun Apr 30 21:04:44 2023	1682903084	1	257	258	225
Sun Apr 30 21:04:43 2023	1682903083	1	258	259	207
Sun Apr 30 21:04:43 2023	1682903083	1	258	259	204
Sun Apr 30 21:04:46 2023	1682903086	1	258	259	251
Sun Apr 30 21:04:43 2023	1682903083	1	258	259	222
Sun Apr 30 21:04:44 2023	1682903084	1	258	259	227
Sun Apr 30 21:04:44 2023	1682903084	1	258	259	258
Sun Apr 30 21:04:43 2023	1682903083	1	259	260	227
Sun Apr 30 21:04:43 2023	1682903083	1	260	261	230
Sun Apr 30 21:04:43 2023	1682903083	1	260	261	228
Sun Apr 30 21:04:43 2023	1682903083	1	260	261	230
Sun Apr 30 21:04:43 2023	1682903083	1	260	261	225
Sun Apr 30 21:04:43 2023	1682903083	1	260	261	231
Sun Apr 30 21:04:44 2023	1682903084	0	261	261	246
Sun Apr 30 21:04:44 2023	1682903084	0	261	261	233
Sun Apr 30 21:04:46 2023	1682903086	1	260	261	225
Sun Apr 30 21:04:43 2023	1682903083	1	260	261	225
Sun Apr 30 21:04:44 2023	1682903084	1	261	262	245
Sun Apr 30 21:04:44 2023	1682903084	0	262	262	235
