starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:55:54 2023	1682902554	1	355	356	354
Sun Apr 30 20:55:53 2023	1682902553	1	411	412	300
Sun Apr 30 20:55:54 2023	1682902554	1	664	665	664
Sun Apr 30 20:55:54 2023	1682902554	0	907	907	906
Sun Apr 30 20:55:54 2023	1682902554	0	1167	1167	1165
Sun Apr 30 20:55:54 2023	1682902554	1	1430	1431	1430
Sun Apr 30 20:55:54 2023	1682902554	0	1698	1698	1697
Sun Apr 30 20:55:54 2023	1682902554	0	1973	1973	1972
Sun Apr 30 20:55:54 2023	1682902554	1	2239	2240	2238
Sun Apr 30 20:55:54 2023	1682902554	0	2510	2510	2509
Sun Apr 30 20:55:54 2023	1682902554	0	2756	2756	2754
Sun Apr 30 20:55:54 2023	1682902554	1	3031	3032	3031
Sun Apr 30 20:55:54 2023	1682902554	1	3275	3276	3275
Sun Apr 30 20:55:54 2023	1682902554	1	3540	3541	3539
Sun Apr 30 20:55:54 2023	1682902554	1	3792	3793	3792
Sun Apr 30 20:55:54 2023	1682902554	0	4059	4059	4058
Sun Apr 30 20:55:54 2023	1682902554	1	4347	4348	4346
Sun Apr 30 20:55:54 2023	1682902554	1	4565	4566	4565
Sun Apr 30 20:55:54 2023	1682902554	1	4874	4875	4869
Sun Apr 30 20:55:54 2023	1682902554	1	5137	5138	5137
Sun Apr 30 20:55:54 2023	1682902554	1	5415	5416	5414
Sun Apr 30 20:55:54 2023	1682902554	1	5678	5679	5677
Sun Apr 30 20:55:54 2023	1682902554	2	5943	5945	5943
Sun Apr 30 20:55:54 2023	1682902554	0	6200	6200	6199
Sun Apr 30 20:55:54 2023	1682902554	2	6479	6481	6476
Sun Apr 30 20:55:54 2023	1682902554	0	6736	6736	6730
Sun Apr 30 20:55:54 2023	1682902554	3	6972	6975	6972
Sun Apr 30 20:55:54 2023	1682902554	0	7310	7310	7310
Sun Apr 30 20:55:54 2023	1682902554	1	7594	7595	7594
Sun Apr 30 20:55:54 2023	1682902554	0	7850	7850	7849
Sun Apr 30 20:55:54 2023	1682902554	1	8049	8050	8049
Sun Apr 30 20:55:54 2023	1682902554	1	8378	8379	8378
Sun Apr 30 20:55:54 2023	1682902554	1	8649	8650	8648
Sun Apr 30 20:55:54 2023	1682902554	0	8874	8874	8870
Sun Apr 30 20:55:54 2023	1682902554	1	9168	9169	9168
Sun Apr 30 20:55:54 2023	1682902554	1	9472	9473	9462
Sun Apr 30 20:55:54 2023	1682902554	0	9723	9723	9722
Sun Apr 30 20:55:54 2023	1682902554	0	9993	9993	9980
Sun Apr 30 20:55:54 2023	1682902554	1	10273	10274	10273
Sun Apr 30 20:55:54 2023	1682902554	0	10522	10522	10521
Sun Apr 30 20:55:54 2023	1682902554	1	10809	10810	10809
Sun Apr 30 20:55:54 2023	1682902554	1	11066	11067	11066
Sun Apr 30 20:55:54 2023	1682902554	1	11355	11356	11355
Sun Apr 30 20:55:54 2023	1682902554	1	11628	11629	11628
Sun Apr 30 20:55:54 2023	1682902554	1	11942	11943	11942
Sun Apr 30 20:55:54 2023	1682902554	1	12208	12209	12208
Sun Apr 30 20:55:54 2023	1682902554	1	12503	12504	12503
Sun Apr 30 20:55:54 2023	1682902554	1	12773	12774	12773
Sun Apr 30 20:55:54 2023	1682902554	1	13049	13050	13049
Sun Apr 30 20:55:54 2023	1682902554	1	13317	13318	13317
Sun Apr 30 20:55:54 2023	1682902554	1	13610	13611	13610
Sun Apr 30 20:55:54 2023	1682902554	1	13866	13867	13866
Sun Apr 30 20:55:54 2023	1682902554	1	14134	14135	14134
Sun Apr 30 20:55:54 2023	1682902554	1	14438	14439	14438
Sun Apr 30 20:55:54 2023	1682902554	2	14728	14730	14727
Sun Apr 30 20:55:54 2023	1682902554	1	15016	15017	15015
Sun Apr 30 20:55:54 2023	1682902554	1	15260	15261	15260
Sun Apr 30 20:55:54 2023	1682902554	0	15531	15531	15531
Sun Apr 30 20:55:54 2023	1682902554	1	15801	15802	15800
Sun Apr 30 20:55:54 2023	1682902554	1	16037	16038	16036
Sun Apr 30 20:55:54 2023	1682902554	1	16334	16335	16334
Sun Apr 30 20:55:54 2023	1682902554	0	16577	16577	16577
Sun Apr 30 20:55:54 2023	1682902554	1	16864	16865	16863
Sun Apr 30 20:55:54 2023	1682902554	1	17069	17070	17069
Sun Apr 30 20:55:54 2023	1682902554	1	17379	17381	17378
Sun Apr 30 20:55:54 2023	1682902554	2	17632	17634	17632
Sun Apr 30 20:55:54 2023	1682902554	1	17869	17870	17869
Sun Apr 30 20:55:54 2023	1682902554	1	18136	18137	18136
Sun Apr 30 20:55:54 2023	1682902554	1	18436	18437	18436
Sun Apr 30 20:55:54 2023	1682902554	0	18770	18770	18770
Sun Apr 30 20:55:54 2023	1682902554	0	19056	19056	19055
Sun Apr 30 20:55:54 2023	1682902554	1	19319	19320	19319
Sun Apr 30 20:55:54 2023	1682902554	0	19579	19579	19579
Sun Apr 30 20:55:54 2023	1682902554	1	19862	19863	19859
Sun Apr 30 20:55:54 2023	1682902554	1	20089	20090	20088
Sun Apr 30 20:55:54 2023	1682902554	1	20409	20410	20408
Sun Apr 30 20:55:54 2023	1682902554	2	20636	20638	20636
Sun Apr 30 20:55:54 2023	1682902554	1	20917	20918	20917
Sun Apr 30 20:55:54 2023	1682902554	1	21202	21203	21202
Sun Apr 30 20:55:54 2023	1682902554	0	21458	21458	21458
Sun Apr 30 20:55:54 2023	1682902554	1	21752	21753	21751
Sun Apr 30 20:55:54 2023	1682902554	1	22091	22092	22082
Sun Apr 30 20:55:54 2023	1682902554	1	22314	22315	22314
Sun Apr 30 20:55:54 2023	1682902554	0	22579	22579	22579
Sun Apr 30 20:55:54 2023	1682902554	0	22885	22885	22885
Sun Apr 30 20:55:54 2023	1682902554	1	23151	23152	23151
Sun Apr 30 20:55:54 2023	1682902554	3	23446	23448	23445
Sun Apr 30 20:55:54 2023	1682902554	1	23706	23707	23705
Sun Apr 30 20:55:54 2023	1682902554	3	23931	23934	23930
Sun Apr 30 20:55:54 2023	1682902554	1	24283	24284	24283
Sun Apr 30 20:55:54 2023	1682902554	1	24557	24558	24557
Sun Apr 30 20:55:54 2023	1682902554	1	24755	24757	24755
Sun Apr 30 20:55:54 2023	1682902554	1	25091	25092	25091
Sun Apr 30 20:55:54 2023	1682902554	0	25350	25350	25350
Sun Apr 30 20:55:54 2023	1682902554	0	25662	25662	25661
Sun Apr 30 20:55:54 2023	1682902554	0	25883	25883	25883
Sun Apr 30 20:55:54 2023	1682902554	1	26237	26238	26236
Sun Apr 30 20:55:54 2023	1682902554	1	26504	26505	26503
Sun Apr 30 20:55:54 2023	1682902554	0	26753	26753	26753
Sun Apr 30 20:55:54 2023	1682902554	0	26975	26975	26974
Sun Apr 30 20:59:44 2023	1682902784	1	26999	27000	26999
Sun Apr 30 20:59:42 2023	1682902782	0	27005	27005	27003
Sun Apr 30 20:59:44 2023	1682902784	1	27009	27010	27009
Sun Apr 30 20:59:45 2023	1682902785	0	27019	27019	27018
Sun Apr 30 20:59:42 2023	1682902782	1	27025	27026	27025
Sun Apr 30 20:59:43 2023	1682902783	1	27026	27027	27025
Sun Apr 30 20:59:48 2023	1682902788	0	27029	27029	27029
Sun Apr 30 20:59:45 2023	1682902785	1	27030	27031	27029
Sun Apr 30 20:59:42 2023	1682902782	0	27039	27039	27039
Sun Apr 30 20:59:43 2023	1682902783	0	27039	27039	27038
Sun Apr 30 20:59:44 2023	1682902784	1	27049	27050	27049
Sun Apr 30 20:59:48 2023	1682902788	0	27050	27050	27050
Sun Apr 30 20:59:45 2023	1682902785	0	27050	27050	27049
Sun Apr 30 20:59:46 2023	1682902786	1	27050	27051	27049
Sun Apr 30 20:59:47 2023	1682902787	0	27060	27060	27059
Sun Apr 30 20:59:46 2023	1682902786	1	27059	27060	27059
Sun Apr 30 20:59:54 2023	1682902794	0	27060	27060	27060
Sun Apr 30 20:59:47 2023	1682902787	0	27060	27060	27060
Sun Apr 30 20:59:49 2023	1682902789	1	27059	27060	27058
Sun Apr 30 20:59:46 2023	1682902786	0	27060	27060	27059
Sun Apr 30 20:59:47 2023	1682902787	1	27060	27061	27060
Sun Apr 30 20:59:48 2023	1682902788	0	27069	27069	27069
Sun Apr 30 20:59:49 2023	1682902789	1	27069	27070	27069
Sun Apr 30 20:59:47 2023	1682902787	0	27070	27070	27069
Sun Apr 30 20:59:48 2023	1682902788	1	27069	27070	27068
Sun Apr 30 20:59:51 2023	1682902791	0	27070	27070	27069
Sun Apr 30 20:59:44 2023	1682902784	1	27069	27070	27069
Sun Apr 30 20:59:49 2023	1682902789	0	27070	27070	27068
Sun Apr 30 20:59:43 2023	1682902783	0	27070	27070	27069
Sun Apr 30 20:59:50 2023	1682902790	0	27088	27088	27087
Sun Apr 30 20:59:45 2023	1682902785	0	27090	27090	27090
Sun Apr 30 20:59:51 2023	1682902791	1	27089	27090	27089
Sun Apr 30 20:59:57 2023	1682902797	1	27089	27090	27088
Sun Apr 30 20:59:55 2023	1682902795	1	27089	27090	27089
Sun Apr 30 20:59:56 2023	1682902796	1	27089	27090	27089
Sun Apr 30 20:56:23 2023	1682902583	1	27089	27090	27089
Sun Apr 30 20:56:25 2023	1682902585	0	27097	27097	27096
Sun Apr 30 20:59:52 2023	1682902792	1	27098	27099	27098
Sun Apr 30 20:59:53 2023	1682902793	0	27099	27099	27098
Sun Apr 30 20:59:55 2023	1682902795	0	27100	27100	27099
Sun Apr 30 20:59:41 2023	1682902781	1	27099	27100	27099
Sun Apr 30 20:59:53 2023	1682902793	1	27099	27100	27099
Sun Apr 30 20:59:42 2023	1682902782	0	27100	27100	27099
Sun Apr 30 20:59:51 2023	1682902791	1	27099	27100	27098
Sun Apr 30 20:59:54 2023	1682902794	1	27099	27100	27099
Sun Apr 30 20:59:55 2023	1682902795	0	27100	27100	27100
Sun Apr 30 20:59:52 2023	1682902792	1	27099	27100	27098
Sun Apr 30 20:59:41 2023	1682902781	1	27099	27100	27098
Sun Apr 30 20:59:52 2023	1682902792	1	27099	27100	27099
Sun Apr 30 20:56:24 2023	1682902584	3	27098	27101	27095
Sun Apr 30 20:59:41 2023	1682902781	1	27102	27103	27101
Sun Apr 30 20:56:23 2023	1682902583	0	27105	27105	27104
Sun Apr 30 20:56:25 2023	1682902585	1	27105	27106	27104
Sun Apr 30 20:59:50 2023	1682902790	0	27108	27108	27108
Sun Apr 30 20:56:23 2023	1682902583	1	27108	27109	27108
Sun Apr 30 20:56:23 2023	1682902583	1	27108	27109	27108
Sun Apr 30 20:59:57 2023	1682902797	1	27109	27109	27109
Sun Apr 30 20:56:20 2023	1682902580	1	27109	27109	27109
Sun Apr 30 20:59:49 2023	1682902789	1	27109	27110	27109
Sun Apr 30 20:59:56 2023	1682902796	1	27109	27110	27109
Sun Apr 30 20:59:51 2023	1682902791	1	27109	27110	27108
Sun Apr 30 20:56:24 2023	1682902584	1	27118	27119	27118
Sun Apr 30 20:59:53 2023	1682902793	0	27119	27119	27109
Sun Apr 30 20:59:56 2023	1682902796	0	27119	27119	27119
Sun Apr 30 20:59:52 2023	1682902792	0	27119	27119	27119
Sun Apr 30 20:59:41 2023	1682902781	0	27120	27120	27119
Sun Apr 30 20:59:54 2023	1682902794	1	27126	27126	27126
Sun Apr 30 20:56:26 2023	1682902586	0	27128	27128	27127
Sun Apr 30 20:56:26 2023	1682902586	1	27127	27128	27127
